,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_child_weight,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
21,0.8369878768920899,0.007986875855254422,0.012402915954589843,0.0004900571400079585,3,10,200,"{'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 200}",0.8431173683624451,0.8557677105379958,0.8491890221473752,0.848371375549427,0.8454925360194468,0.848387602523338,0.004272360219108074,1
22,2.0856688976287843,0.04342130591233316,0.02140469551086426,0.0013568457801244214,3,10,500,"{'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 500}",0.8416564656647199,0.8542407975972939,0.8471325459623215,0.8440851650925476,0.8456013499800529,0.8465432648593871,0.004252282374021512,6
23,4.089318752288818,0.06330590210231993,0.033207368850708005,0.0014700739977629342,3,10,1000,"{'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 1000}",0.8357692960434484,0.8504790805698388,0.8416481382749776,0.837415048450225,0.8386598589447297,0.8407942844566438,0.0052105634801425296,17
24,0.7515686511993408,0.017469289614810236,0.013003063201904298,0.0006327866856664917,5,1,100,"{'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 100}",0.8401996179015738,0.8546946248886425,0.8489847486629442,0.8429239555771411,0.8444034377038939,0.8462412769468391,0.0050964624329874085,8
25,1.5123398780822754,0.0259365501476547,0.018004131317138673,0.0006324851073777584,5,1,200,"{'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 200}",0.8351755803466687,0.8508248061945781,0.8456332402692218,0.8404998969714628,0.8384282718651624,0.8421123591294188,0.00552439627337018,15
26,3.700851488113403,0.04464209762589717,0.033814859390258786,0.003380534298639626,5,1,500,"{'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 500}",0.827822870725008,0.842407634484555,0.8362902862423691,0.834074186507667,0.8270937913479779,0.8335377538615155,0.005669629950857322,21
27,7.210305118560791,0.055452323403675154,0.0469940185546875,0.007771306401111456,5,1,1000,"{'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 1000}",0.8234199428396609,0.8387903841759631,0.8323418453526976,0.829552993600147,0.8222208481342594,0.8292652028205456,0.006067415097838567,23
28,0.7397661685943604,0.022064848709671712,0.012402725219726563,0.0004899208473093903,5,5,100,"{'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 100}",0.8425405986144262,0.8575603328051774,0.8499612282557031,0.8447246034495202,0.8407101612095232,0.8470993848668702,0.006080557164757941,4
29,1.4585281372070313,0.025946791210176647,0.01800370216369629,4.76837158203125e-07,5,5,200,"{'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 200}",0.8366794015831747,0.8534264982399913,0.8445939116661502,0.8407834184881516,0.835830845003376,0.8422628149961687,0.006399924884086127,14
30,3.5874913692474366,0.032500774163186266,0.03360748291015625,0.0004897845816770382,5,5,500,"{'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 500}",0.8293289196839448,0.84774117345263,0.8361922790253618,0.8335202869504971,0.8273025683309108,0.834817045488669,0.007172068396474683,19
31,6.2976727962493895,0.027775598585836808,0.03363280296325684,0.0022610700217418943,5,5,1000,"{'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 1000}",0.8238569772243272,0.8428404826102177,0.8316065261447984,0.8275586230852524,0.8208557440396367,0.8293436706208464,0.0076500921011248176,22
32,0.7410090446472168,0.02157357711855568,0.013203096389770509,0.0003999711219958434,5,10,100,"{'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 100}",0.8410057818549035,0.8577791699140491,0.8474843864307688,0.8443290946124115,0.8445211901178069,0.847023924585988,0.00575553920173763,5
33,1.4142609596252442,0.017535835110276413,0.01800427436828613,3.2340669551493016e-07,5,10,200,"{'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 200}",0.8369577071413584,0.8550434060338241,0.8429697983408613,0.839960402494258,0.8402554557063453,0.8430373539433293,0.006297913048251641,11
34,3.279820966720581,0.10660557249776448,0.02880859375,0.003309626822344314,5,10,500,"{'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 500}",0.829357661278294,0.8471803332031272,0.8330408359798092,0.8322707830713618,0.8299062748943439,0.8343511776853874,0.006562387299809975,20
35,5.210285091400147,0.05898097160630998,0.03180713653564453,0.0004001620556763773,5,10,1000,"{'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 1000}",0.823782443960833,0.8415755634768272,0.8267943215586803,0.8276248103125161,0.8236482219305122,0.8286850722478738,0.006637310945019461,24
